participant,line_num,label,image_clicked,trial_start_time,context_start_time,context_end_time,target_start_time,target_audio_start_time,target_audio_end_time,mouse_move,mouse_start_time,mouse_end_time,question_answer_time,trial_end_time
02A,3141,Trial: 24,target,1.536708e6,1.537708e6,1.55404e6,1.554404e6,1.554435e6,1.556423e6,0,1.554405e6,1.556857e6,1.558184e6,1.558187e6
02A,3254,Trial: 25,target,1.560075e6,1.561075e6,1.583048e6,1.583493e6,1.583526e6,1.586371e6,0,1.583493e6,1.587209e6,1.588945e6,1.588948e6
02A,3381,Trial: 26,target,1.590915e6,1.591915e6,1.61497e6,1.615334e6,1.615367e6,1.61746e6,0,1.615334e6,1.617681e6,1.619665e6,1.619667e6
02A,3486,Trial: 27,target,1.621638e6,1.622638e6,1.640026e6,1.640869e6,1.640898e6,1.64346e6,0,1.64087e6,1.643857e6,1.645937e6,1.645941e6
02A,3567,Trial: 28,target,1.647741e6,1.648741e6,1.667058e6,1.667423e6,1.667459e6,1.669801e6,0,1.667423e6,1.670168e6,1.671663e6,1.671665e6
02A,3687,Trial: 29,target,1.673527e6,1.674527e6,1.7087e6,1.708737e6,1.70877e6,1.710879e6,0,1.708738e6,1.711039e6,1.712479e6,1.712482e6
02A,3794,Trial: 30,target,1.715125e6,1.716125e6,1.736108e6,1.736458e6,1.736491e6,1.738873e6,0,1.736458e6,1.73976e6,1.741694e6,1.741697e6
02A,3928,Trial: 31,target,1.743447e6,1.744447e6,1.760896e6,1.76141e6,1.761442e6,1.763553e6,0,1.761411e6,1.76383e6,1.766119e6,1.766122e6
02A,4013,Trial: 32,target,2.079767e6,2.080767e6,2.097039e6,2.097463e6,2.097494e6,2.099521e6,0,2.097464e6,2.099963e6,2.102467e6,2.10247e6
02A,4159,Trial: 33,target,2.104369e6,2.105369e6,2.125469e6,2.126285e6,2.126315e6,2.128667e6,0,2.126286e6,2.128778e6,2.131601e6,2.131607e6
02A,4250,Trial: 34,target,2.133424e6,2.134424e6,2.150221e6,2.150787e6,2.150815e6,2.153589e6,0,2.150787e6,2.15397e6,2.155546e6,2.155549e6
02A,4397,Trial: 35,target,2.157659e6,2.158659e6,2.178525e6,2.178925e6,2.178956e6,2.181256e6,0,2.178925e6,2.181881e6,2.183778e6,2.18378e6
02A,4504,Trial: 36,target,2.18563e6,2.18663e6,2.203641e6,2.204161e6,2.204197e6,2.207193e6,0,2.204161e6,2.207521e6,2.20921e6,2.209216e6
02A,4627,Trial: 37,target,2.210982e6,2.211982e6,2.239734e6,2.240054e6,2.240089e6,2.241989e6,0,2.240055e6,2.242593e6,2.244185e6,2.244188e6
02A,4704,Trial: 38,target,2.245959e6,2.246959e6,2.266051e6,2.266608e6,2.266639e6,2.268455e6,0,2.266608e6,2.269083e6,2.27036e6,2.270363e6
02A,4812,Trial: 39,target,2.272078e6,2.273078e6,2.292966e6,2.293561e6,2.29359e6,2.29644e6,0,2.293561e6,2.296681e6,2.298129e6,2.298132e6
02A,4970,Trial: 40,target,2.299916e6,2.300916e6,2.32545e6,2.326236e6,2.326271e6,2.328202e6,0,2.326236e6,2.328768e6,2.33128e6,2.331282e6
02A,5075,Trial: 41,target,2.333008e6,2.334008e6,2.348064e6,2.348403e6,2.348432e6,2.351034e6,0,2.348403e6,2.351055e6,2.352247e6,2.35225e6
02A,5188,Trial: 42,target,2.354073e6,2.355073e6,2.385712e6,2.386481e6,2.386513e6,2.389321e6,0,2.386482e6,2.389542e6,2.391671e6,2.391674e6
02A,5292,Trial: 43,target,2.393536e6,2.394536e6,2.417604e6,2.417938e6,2.417974e6,2.420049e6,0,2.417939e6,2.420295e6,2.421646e6,2.421648e6
02A,5437,Trial: 44,target,2.423376e6,2.424376e6,2.451029e6,2.451914e6,2.451946e6,2.453999e6,0,2.451914e6,2.454519e6,2.456822e6,2.456825e6
02A,5577,Trial: 45,target,2.458485e6,2.459485e6,2.486362e6,2.486723e6,2.486757e6,2.489569e6,0,2.486724e6,2.489965e6,2.492086e6,2.492089e6
02A,5749,Trial: 46,target,2.493829e6,2.494829e6,2.520219e6,2.520799e6,2.520828e6,2.522825e6,0,2.520799e6,2.523469e6,2.526469e6,2.526472e6
02A,5865,Trial: 47,target,2.528238e6,2.529238e6,2.549676e6,2.550038e6,2.550069e6,2.55319e6,0,2.550038e6,2.553493e6,2.555045e6,2.555047e6
02A,5974,Trial: 48,target,2.556876e6,2.557876e6,2.575967e6,2.576474e6,2.57651e6,2.578679e6,0,2.576475e6,2.579308e6,2.580949e6,2.580951e6
02A,6091,Trial: 49,target,2.582746e6,2.583746e6,2.602985e6,2.603528e6,2.603561e6,2.605642e6,0,2.603528e6,2.606188e6,2.60818e6,2.608183e6
02A,6200,Trial: 50,target,2.61035e6,2.61135e6,2.631512e6,2.631949e6,2.631982e6,2.634343e6,0,2.63195e6,2.634996e6,2.63658e6,2.636583e6
02A,6304,Trial: 51,target,2.638554e6,2.639554e6,2.65388e6,2.654416e6,2.654453e6,2.656641e6,0,2.654417e6,2.65682e6,2.658036e6,2.658054e6
02A,6398,Trial: 52,target,2.659787e6,2.660787e6,2.678163e6,2.678601e6,2.678633e6,2.680657e6,0,2.678602e6,2.68098e6,2.682444e6,2.682446e6
02A,6502,Trial: 53,target,2.684206e6,2.685206e6,2.711244e6,2.71166e6,2.711695e6,2.713741e6,0,2.71166e6,2.713891e6,2.715371e6,2.715381e6
02A,6644,Trial: 54,target,2.717114e6,2.718114e6,2.738709e6,2.73908e6,2.739115e6,2.741356e6,0,2.739081e6,2.741492e6,2.74366e6,2.743662e6
02A,6747,Trial: 55,target,2.745818e6,2.746818e6,2.764549e6,2.764883e6,2.764916e6,2.766838e6,0,2.764883e6,2.767354e6,2.768739e6,2.768741e6
02A,6855,Trial: 56,target,2.770387e6,2.771387e6,2.793193e6,2.793705e6,2.793737e6,2.795683e6,0,2.793705e6,2.796253e6,2.797483e6,2.797485e6
02A,6958,Trial: 57,target,2.799292e6,2.800292e6,2.824678e6,2.825495e6,2.825528e6,2.827741e6,0,2.825496e6,2.827969e6,2.829274e6,2.829276e6
02A,7127,Trial: 58,target,2.830983e6,2.831983e6,2.848915e6,2.84928e6,2.849309e6,2.851168e6,0,2.84928e6,2.85169e6,2.854858e6,2.85486e6
02A,7253,Trial: 59,target,2.856735e6,2.857735e6,2.871402e6,2.87178e6,2.87181e6,2.873855e6,0,2.871781e6,2.874065e6,2.876322e6,2.876325e6
02A,7365,Trial: 60,target,2.878268e6,2.879268e6,2.904358e6,2.904722e6,2.904751e6,2.906898e6,0,2.904722e6,2.907242e6,2.909528e6,2.909544e6
02A,7496,Trial: 61,target,2.911243e6,2.912243e6,2.930525e6,2.931292e6,2.931322e6,2.933545e6,0,2.931292e6,2.933793e6,2.935392e6,2.935396e6
03A,133,Trial: 1,target,878372.0,879372.0,900193.1,900688.9,900717.0,903163.1,0,900689.3,905166.6,908148.2,908150.7
03A,264,Trial: 2,target,918352.3,919352.0,937443.2,938250.7,938278.0,940447.0,0,938251.0,941501.2,943924.1,943926.5
03A,365,Trial: 3,target,945856.4,946856.0,968655.2,969958.0,969989.0,971979.0,0,969958.4,972917.8,975245.2,975247.8
03A,470,Trial: 4,target,977046.7,978046.0,997401.0,997795.7,997830.0,999755.1,0,997796.1,1.001116e6,1.003356e6,1.003358e6
03A,610,Trial: 5,target,1.006302e6,1.007302e6,1.027464e6,1.028218e6,1.028251e6,1.030612e6,0,1.028219e6,1.031268e6,1.033316e6,1.033318e6
03A,736,Trial: 6,target,1.03509e6,1.03609e6,1.05799e6,1.058391e6,1.058423e6,1.060367e6,0,1.058391e6,1.061499e6,1.063779e6,1.063783e6
03A,844,Trial: 7,target,1.06553e6,1.06653e6,1.083906e6,1.084311e6,1.084343e6,1.086367e6,0,1.084311e6,1.087115e6,1.089755e6,1.089758e6
03A,1021,Trial: 8,target,1.09195e6,1.09295e6,1.118743e6,1.119104e6,1.119135e6,1.121181e6,0,1.119104e6,1.121387e6,1.124474e6,1.124476e6
03A,1158,Trial: 9,target,1.126309e6,1.127309e6,1.147904e6,1.148276e6,1.148306e6,1.150547e6,0,1.148276e6,1.151323e6,1.153922e6,1.153925e6
03A,1283,Trial: 10,target,1.155681e6,1.156681e6,1.183558e6,1.184053e6,1.184087e6,1.186899e6,0,1.184053e6,1.187699e6,1.189538e6,1.189542e6
03A,1408,Trial: 11,target,1.191508e6,1.192508e6,1.217047e6,1.217495e6,1.217528e6,1.219741e6,0,1.217495e6,1.220266e6,1.221985e6,1.221988e6
03A,1531,Trial: 12,target,1.224133e6,1.225133e6,1.239473e6,1.239878e6,1.239909e6,1.241932e6,0,1.239879e6,1.242865e6,1.244913e6,1.244917e6
03A,1645,Trial: 13,target,1.247084e6,1.248084e6,1.265016e6,1.265598e6,1.26563e6,1.267489e6,0,1.265598e6,1.268033e6,1.270377e6,1.270379e6
03A,1783,Trial: 14,target,1.27252e6,1.27352e6,1.287187e6,1.287598e6,1.287631e6,1.289676e6,0,1.287598e6,1.289928e6,1.291794e6,1.291803e6
03A,1931,Trial: 15,target,1.293486e6,1.294486e6,1.319685e6,1.320156e6,1.320192e6,1.322339e6,0,1.320156e6,1.322465e6,1.325776e6,1.325778e6
03A,2056,Trial: 16,target,1.327645e6,1.328645e6,1.346927e6,1.347343e6,1.347373e6,1.349597e6,0,1.347343e6,1.349873e6,1.352096e6,1.352098e6
03A,2186,Trial: 17,target,1.354031e6,1.355031e6,1.370613e6,1.370661e6,1.370694e6,1.373048e6,0,1.370661e6,1.373561e6,1.3754e6,1.375403e6
03A,2326,Trial: 18,target,1.377399e6,1.378399e6,1.395878e6,1.396597e6,1.396625e6,1.398901e6,0,1.396597e6,1.399504e6,1.401729e6,1.401731e6
03A,2456,Trial: 19,target,1.403636e6,1.404636e6,1.427578e6,1.427937e6,1.427966e6,1.430008e6,0,1.427938e6,1.430385e6,1.432728e6,1.432731e6
03A,2565,Trial: 20,target,1.434926e6,1.435926e6,1.453886e6,1.454274e6,1.454307e6,1.45664e6,0,1.454274e6,1.456863e6,1.458792e6,1.458795e6
03A,2676,Trial: 21,target,1.46168e6,1.46268e6,1.47746e6,1.478009e6,1.478038e6,1.480565e6,0,1.478009e6,1.480944e6,1.482751e6,1.482753e6
03A,2816,Trial: 22,target,1.484447e6,1.485447e6,1.505764e6,1.50583e6,1.505859e6,1.508323e6,0,1.50583e6,1.508671e6,1.511135e6,1.511137e6
03A,2956,Trial: 23,target,1.513052e6,1.514052e6,1.534087e6,1.534701e6,1.53473e6,1.536455e6,0,1.534702e6,1.537079e6,1.539311e6,1.539313e6
03A,3137,Trial: 24,target,1.54104e6,1.54204e6,1.56507e6,1.565942e6,1.565971e6,1.568856e6,0,1.565942e6,1.568886e6,1.571471e6,1.571474e6
